ItemsetSize,Items,Support
1,"attr_30",0.550600
1,"attr_29",0.880800
1,"attr_53",0.401700
1,"attr_10",0.560800
1,"attr_16",0.977100
1,"attr_28",0.748100
1,"attr_44",0.400700
1,"attr_46",0.508000
1,"attr_12",0.997800
1,"attr_26",0.476300
1,"attr_39",0.497600
1,"attr_14",0.625900
1,"attr_59",0.725400
1,"attr_38",0.612100
1,"attr_22",0.688000
1,"attr_27",0.868800
1,"attr_21",0.906200
1,"attr_23",0.487600
1,"attr_60",0.455000
1,"attr_31",0.938800
1,"attr_24",0.707600
1,"attr_63",0.649700
1,"attr_64",0.430000
1,"attr_15",0.783700
1,"attr_18",0.996500
1,"attr_80",0.439200
1,"attr_17",0.999800
1,"attr_8",0.545600
1,"attr_1",0.532900
1,"attr_41",0.776800
1,"attr_66",0.850000
1,"attr_25",0.747300
1,"attr_43",0.860800
2,"attr_30,attr_31",0.523600
2,"attr_30,attr_41",0.432100
2,"attr_30,attr_66",0.465100
2,"attr_30,attr_43",0.472100
2,"attr_29,attr_46",0.441200
2,"attr_29,attr_39",0.443600
2,"attr_29,attr_59",0.645600
2,"attr_29,attr_38",0.545000
2,"attr_29,attr_31",0.826000
2,"attr_29,attr_63",0.569500
2,"attr_29,attr_8",0.483700
2,"attr_29,attr_41",0.690800
2,"attr_29,attr_66",0.747000
2,"attr_29,attr_43",0.757700
2,"attr_10,attr_16",0.543300
2,"attr_10,attr_28",0.419500
2,"attr_10,attr_12",0.559400
2,"attr_10,attr_27",0.468800
2,"attr_10,attr_21",0.493400
2,"attr_10,attr_31",0.511100
2,"attr_10,attr_15",0.427000
2,"attr_10,attr_18",0.558400
2,"attr_10,attr_17",0.560600
2,"attr_10,attr_66",0.476200
2,"attr_10,attr_25",0.428600
2,"attr_10,attr_43",0.445400
2,"attr_16,attr_28",0.727300
2,"attr_16,attr_46",0.502200
2,"attr_16,attr_26",0.464800
2,"attr_16,attr_39",0.488300
2,"attr_16,attr_59",0.714400
2,"attr_16,attr_38",0.598200
2,"attr_16,attr_22",0.676900
2,"attr_16,attr_27",0.849900
2,"attr_16,attr_21",0.885500
2,"attr_16,attr_23",0.470500
2,"attr_16,attr_60",0.449300
2,"attr_16,attr_31",0.923500
2,"attr_16,attr_24",0.691000
2,"attr_16,attr_63",0.633600
2,"attr_16,attr_64",0.424900
2,"attr_16,attr_18",0.974800
2,"attr_16,attr_80",0.433800
2,"attr_16,attr_17",0.976900
2,"attr_16,attr_8",0.533600
2,"attr_16,attr_41",0.762400
2,"attr_16,attr_66",0.829900
2,"attr_16,attr_25",0.731400
2,"attr_16,attr_43",0.842400
2,"attr_28,attr_46",0.415600
2,"attr_28,attr_59",0.564800
2,"attr_28,attr_38",0.458800
2,"attr_28,attr_31",0.710200
2,"attr_28,attr_63",0.477500
2,"attr_28,attr_8",0.424800
2,"attr_28,attr_41",0.594100
2,"attr_28,attr_66",0.632600
2,"attr_28,attr_43",0.644500
2,"attr_46,attr_59",0.411200
2,"attr_46,attr_66",0.429400
2,"attr_12,attr_26",0.475300
2,"attr_12,attr_39",0.496400
2,"attr_12,attr_14",0.625100
2,"attr_12,attr_59",0.725100
2,"attr_12,attr_38",0.611300
2,"attr_12,attr_22",0.687700
2,"attr_12,attr_27",0.866900
2,"attr_12,attr_21",0.904100
2,"attr_12,attr_23",0.487200
2,"attr_12,attr_60",0.454600
2,"attr_12,attr_31",0.936900
2,"attr_12,attr_24",0.706200
2,"attr_12,attr_63",0.648200
2,"attr_12,attr_64",0.429000
2,"attr_12,attr_15",0.781600
2,"attr_12,attr_18",0.995700
2,"attr_12,attr_80",0.438400
2,"attr_12,attr_17",0.997600
2,"attr_12,attr_8",0.544300
2,"attr_12,attr_41",0.775400
2,"attr_12,attr_66",0.848000
2,"attr_12,attr_25",0.745200
2,"attr_12,attr_43",0.858900
2,"attr_26,attr_27",0.421500
2,"attr_26,attr_31",0.453400
2,"attr_26,attr_66",0.405900
2,"attr_26,attr_43",0.414400
2,"attr_39,attr_41",0.404100
2,"attr_39,attr_66",0.424300
2,"attr_39,attr_43",0.427100
2,"attr_14,attr_59",0.470000
2,"attr_14,attr_22",0.450400
2,"attr_14,attr_27",0.543300
2,"attr_14,attr_21",0.566500
2,"attr_14,attr_31",0.591200
2,"attr_14,attr_24",0.442700
2,"attr_14,attr_63",0.400100
2,"attr_14,attr_15",0.588100
2,"attr_14,attr_18",0.625200
2,"attr_14,attr_17",0.625900
2,"attr_14,attr_41",0.483800
2,"attr_14,attr_66",0.533600
2,"attr_14,attr_25",0.539000
2,"attr_14,attr_43",0.545700
2,"attr_59,attr_63",0.464800
2,"attr_59,attr_8",0.413100
2,"attr_59,attr_66",0.616400
2,"attr_38,attr_63",0.403600
2,"attr_38,attr_41",0.491900
2,"attr_38,attr_66",0.520300
2,"attr_38,attr_43",0.528400
2,"attr_22,attr_27",0.586600
2,"attr_22,attr_31",0.659900
2,"attr_22,attr_24",0.470900
2,"attr_22,attr_63",0.439300
2,"attr_22,attr_41",0.554400
2,"attr_22,attr_66",0.587200
2,"attr_22,attr_25",0.545000
2,"attr_22,attr_43",0.595400
2,"attr_27,attr_60",0.409200
2,"attr_27,attr_31",0.818000
2,"attr_27,attr_63",0.560500
2,"attr_27,attr_80",0.400000
2,"attr_27,attr_8",0.464100
2,"attr_27,attr_41",0.681100
2,"attr_27,attr_66",0.740100
2,"attr_27,attr_43",0.748100
2,"attr_21,attr_23",0.450100
2,"attr_21,attr_60",0.416000
2,"attr_21,attr_31",0.854800
2,"attr_21,attr_24",0.638600
2,"attr_21,attr_63",0.586600
2,"attr_21,attr_80",0.412800
2,"attr_21,attr_8",0.487400
2,"attr_21,attr_41",0.707800
2,"attr_21,attr_66",0.772000
2,"attr_21,attr_25",0.663300
2,"attr_21,attr_43",0.781100
2,"attr_23,attr_31",0.450500
2,"attr_23,attr_66",0.418200
2,"attr_31,attr_63",0.609100
2,"attr_31,attr_64",0.410700
2,"attr_31,attr_80",0.427700
2,"attr_31,attr_8",0.512700
2,"attr_31,attr_41",0.753500
2,"attr_31,attr_66",0.800100
2,"attr_31,attr_43",0.810300
2,"attr_24,attr_63",0.462600
2,"attr_24,attr_8",0.537600
2,"attr_24,attr_41",0.549500
2,"attr_24,attr_66",0.588900
2,"attr_24,attr_25",0.536400
