Size,Items,Support
9,"17,19,29,34,40,48,62,66,9",0.438673
1,"46",0.799750
1,"5",0.929599
1,"54",0.693367
1,"24",0.431477
1,"21",0.696183
1,"36",0.969650
1,"42",0.849186
1,"44",0.817272
1,"72",0.733730
1,"17",0.782228
1,"68",0.620776
1,"38",0.687109
1,"74",0.753129
1,"7",0.962453
1,"64",0.823217
1,"27",0.689925
1,"15",0.633917
1,"56",0.945244
1,"wk_file_1",0.522215
1,"50",0.617960
1,"52",0.996558
1,"wk_file_2",0.477785
1,"31",0.790363
1,"19",0.619524
1,"11",0.666145
1,"23",0.568523
1,"29",0.995307
1,"34",0.951189
1,"14",0.461202
1,"13",0.538798
1,"58",0.999687
1,"40",0.991865
1,"3",0.888298
1,"25",0.894869
1,"48",0.942741
1,"62",0.957447
1,"66",0.945244
1,"9",0.899249
1,"70",0.627972
1,"60",0.985294
3,"46,5,54",0.524718
3,"46,5,72",0.558511
3,"46,5,68",0.455569
3,"46,5,74",0.561952
3,"46,5,7",0.711202
3,"46,5,64",0.634230
3,"46,5,56",0.698999
3,"46,5,50",0.448999
3,"46,5,52",0.742804
3,"46,5,58",0.745932
3,"46,5,62",0.714643
3,"46,5,66",0.713705
3,"46,5,9",0.662390
3,"46,5,70",0.453692
3,"46,5,60",0.734043
3,"46,54,74",0.493742
3,"46,54,7",0.535670
3,"46,54,64",0.433667
3,"46,54,56",0.535982
3,"46,54,58",0.561952
3,"46,54,62",0.540989
3,"46,54,66",0.521277
3,"46,54,9",0.502190
3,"46,54,60",0.550063
3,"46,72,9",0.518461
3,"46,68,7",0.465582
3,"46,68,9",0.435544
3,"46,74,9",0.540050
3,"46,7,9",0.671777
3,"46,7,70",0.468398
3,"46,64,66",0.638298
3,"46,64,9",0.594806
3,"46,64,70",0.415207
3,"46,56,58",0.752190
3,"46,56,62",0.726533
3,"46,56,66",0.711514
3,"46,56,9",0.676783
3,"46,56,70",0.452441
3,"46,56,60",0.740300
3,"46,50,52",0.478098
3,"46,50,58",0.479662
3,"46,50,62",0.468398
3,"46,50,66",0.455569
3,"46,50,9",0.436796
3,"46,50,60",0.471527
3,"46,52,58",0.795995
3,"46,52,62",0.762829
3,"46,52,66",0.755319
3,"46,52,9",0.706508
3,"46,52,70",0.471527
3,"46,52,60",0.784105
3,"46,58,62",0.766270
3,"46,58,66",0.758448
3,"46,58,9",0.708698
3,"46,58,70",0.473091
3,"46,58,60",0.787234
3,"46,48,62",0.718711
3,"46,48,66",0.720901
3,"46,48,9",0.661452
3,"46,48,70",0.429912
3,"46,48,60",0.746245
3,"46,62,66",0.727159
3,"46,62,9",0.677722
3,"46,62,70",0.459011
3,"46,66,9",0.672090
3,"46,66,70",0.442741
3,"5,54,72",0.406446
3,"5,54,68",0.428974
3,"5,54,74",0.568210
3,"5,54,7",0.621715
3,"5,54,64",0.495620
3,"5,54,56",0.619524
3,"5,54,58",0.646120
3,"5,54,62",0.625156
3,"5,54,66",0.602941
3,"5,54,9",0.587922
3,"5,54,70",0.424593
3,"5,54,60",0.631727
3,"5,72,74",0.460889
3,"5,72,9",0.616083
3,"5,68,74",0.464956
3,"5,68,7",0.560075
3,"5,68,9",0.529725
3,"5,74,9",0.639862
3,"5,7,wk_file_1",0.475282
3,"5,7,wk_file_2",0.419274
3,"5,7,9",0.804756
3,"5,7,70",0.603254
3,"5,64,66",0.741239
3,"5,64,9",0.703379
3,"5,64,70",0.525970
3,"5,56,wk_file_1",0.473404
3,"5,56,wk_file_2",0.403630
3,"5,56,58",0.876721
3,"5,56,62",0.851690
3,"5,56,66",0.833542
3,"5,56,9",0.802879
3,"5,56,70",0.583542
3,"5,56,60",0.862328
3,"5,50,52",0.573217
3,"5,50,58",0.574781
3,"5,50,62",0.561640
3,"5,50,66",0.548811
3,"5,50,9",0.528160
3,"5,50,70",0.400501
3,"5,50,60",0.565081
3,"5,52,wk_file_2",0.441802
3,"5,52,58",0.925845
3,"5,52,62",0.891114
3,"5,52,66",0.882666
3,"5,52,9",0.836984
3,"5,52,70",0.606383
3,"5,52,60",0.911452
3,"5,58,62",0.894556
3,"5,58,66",0.885795
3,"5,58,9",0.839174
3,"5,58,70",0.607947
3,"5,58,60",0.914581
3,"5,62,66",0.852628
3,"5,62,9",0.807259
3,"5,62,70",0.593242
3,"5,66,9",0.799437
3,"5,66,70",0.571339
3,"54,68,74",0.417710
3,"54,68,7",0.446496
3,"54,68,9",0.423029
3,"54,74,9",0.555695
3,"54,7,9",0.601377
3,"54,7,70",0.434293
3,"54,64,66",0.474656
3,"54,64,9",0.468711
3,"54,56,58",0.663955
3,"54,56,62",0.645181
3,"54,56,66",0.609512
3,"54,56,9",0.611702
3,"54,56,70",0.429287
3,"54,56,60",0.649562
3,"54,58,62",0.667397
3,"54,58,66",0.638298
3,"54,58,9",0.627660
3,"54,58,70",0.437109
3,"54,58,60",0.678348
3,"54,62,66",0.614831
3,"54,62,9",0.604193
3,"54,62,70",0.427096
3,"54,66,9",0.578223
3,"24,36,74",0.412078
3,"24,36,52",0.408636
3,"24,36,58",0.411765
3,"24,36,40",0.404568
3,"24,36,66",0.412078
3,"24,36,60",0.412078
3,"24,56,58",0.410200
3,"24,56,62",0.400501
3,"24,56,66",0.410513
3,"24,56,60",0.410513
3,"24,52,58",0.427722
3,"24,52,62",0.415207
3,"24,52,66",0.428035
3,"24,52,60",0.428035
3,"24,29,34",0.408636
3,"24,29,58",0.428661
3,"24,29,40",0.421464
3,"24,29,48",0.400501
3,"24,29,62",0.416145
3,"24,29,66",0.428974
3,"24,29,60",0.428974
3,"24,34,58",0.409574
3,"24,34,40",0.403317
3,"24,34,66",0.409887
3,"24,34,60",0.409887
3,"24,58,62",0.418648
3,"24,58,66",0.431164
3,"24,58,60",0.431164
3,"24,40,62",0.413955
3,"24,40,66",0.423967
3,"24,40,60",0.423967
3,"24,25,66",0.402065
3,"24,25,60",0.402065
3,"24,48,66",0.403004
3,"24,48,60",0.403004
3,"24,62,66",0.418648
3,"21,36,42",0.576345
3,"21,36,44",0.567897
3,"21,36,72",0.475282
3,"21,36,68",0.445557
3,"21,36,38",0.438673
3,"21,36,74",0.513141
3,"21,36,7",0.659887
3,"21,36,64",0.537547
3,"21,36,56",0.634230
3,"21,36,wk_file_1",0.437109
3,"21,36,52",0.676158
3,"21,36,58",0.678974
3,"21,36,40",0.671151
3,"21,36,48",0.651439
3,"21,36,62",0.638611
3,"21,36,66",0.637985
3,"21,36,9",0.605757
3,"21,36,70",0.404255
3,"21,36,60",0.665832
3,"21,42,44",0.504068
3,"21,42,72",0.461514
3,"21,42,74",0.424280
3,"21,42,7",0.572591
3,"21,42,64",0.520338
3,"21,42,56",0.555069
3,"21,42,52",0.590113
3,"21,42,58",0.591364
3,"21,42,48",0.559762
3,"21,42,62",0.557259
3,"21,42,66",0.564768
3,"21,42,9",0.530663
3,"21,42,60",0.583542
3,"21,44,72",0.405820
3,"21,44,68",0.406446
3,"21,44,74",0.452128
3,"21,44,7",0.566959
3,"21,44,64",0.476846
3,"21,44,56",0.546308
3,"21,44,52",0.581665
3,"21,44,58",0.584481
3,"21,44,48",0.544743
3,"21,44,62",0.557259
3,"21,44,66",0.546308
3,"21,44,9",0.522841
3,"21,44,60",0.571339
3,"21,72,9",0.433041
3,"21,68,7",0.447434
3,"21,68,9",0.415519
3,"21,38,7",0.440864
3,"21,38,56",0.429287
3,"21,38,52",0.452128
3,"21,38,58",0.453692
3,"21,38,40",0.454005
3,"21,38,48",0.418023
3,"21,38,62",0.439925
3,"21,38,66",0.424593
3,"21,38,9",0.413329
3,"21,38,60",0.443680
3,"21,74,9",0.477785
3,"21,7,wk_file_1",0.440864
3,"21,7,9",0.603254
3,"21,7,70",0.419587
3,"21,64,66",0.519086
3,"21,64,9",0.490926
3,"21,27,56",0.460576
3,"21,27,52",0.490613
3,"21,27,29",0.491552
3,"21,27,34",0.463705
3,"21,27,58",0.493429
3,"21,27,40",0.485607
3,"21,27,3",0.435544
3,"21,27,48",0.473717
3,"21,27,62",0.459011
3,"21,27,66",0.462766
3,"21,27,9",0.444305
3,"21,27,60",0.483417
3,"21,56,wk_file_1",0.441176
3,"21,56,58",0.650814
3,"21,56,62",0.622028
3,"21,56,66",0.609825
3,"21,56,9",0.592303
3,"21,56,70",0.400501
3,"21,56,60",0.637672
3,"21,50,52",0.406446
3,"21,50,58",0.408010
3,"21,52,58",0.692741
3,"21,52,62",0.652378
3,"21,52,66",0.651752
3,"21,52,9",0.620463
3,"21,52,70",0.418023
3,"21,52,60",0.679599
3,"21,31,34",0.516583
3,"21,31,58",0.545995
3,"21,31,40",0.541927
3,"21,31,48",0.510951
3,"21,31,62",0.511264
3,"21,31,66",0.524093
3,"21,31,9",0.488110
3,"21,31,60",0.541927
3,"21,29,34",0.659887
3,"21,29,58",0.691176
3,"21,29,40",0.683354
3,"21,29,3",0.611389
3,"21,29,48",0.651439
3,"21,29,62",0.650814
3,"21,29,66",0.652378
3,"21,29,9",0.620150
3,"21,29,70",0.419587
3,"21,29,60",0.678661
3,"21,34,58",0.660826
3,"21,34,40",0.653942
3,"21,34,48",0.621089
3,"21,34,62",0.623279
3,"21,34,66",0.624531
3,"21,34,9",0.596370
3,"21,34,70",0.413955
3,"21,34,60",0.648310
3,"21,58,62",0.655507
3,"21,58,66",0.654568
3,"21,58,9",0.622340
3,"21,58,70",0.419274
3,"21,58,60",0.682416
3,"21,40,48",0.647997
3,"21,40,62",0.650814
3,"21,40,66",0.647372
3,"21,40,9",0.615770
3,"21,40,70",0.419587
3,"21,40,60",0.674906
3,"21,3,48",0.576345
3,"21,3,62",0.577284
3,"21,3,66",0.582290
3,"21,3,9",0.550375
3,"21,3,60",0.602003
3,"21,25,48",0.597309
3,"21,25,62",0.584793
3,"21,25,66",0.587922
3,"21,25,9",0.549437
3,"21,25,60",0.613579
3,"21,48,62",0.615457
3,"21,48,66",0.623279
3,"21,48,9",0.582603
3,"21,48,60",0.647685
3,"21,62,66",0.616395
3,"21,62,9",0.585732
3,"21,62,70",0.404881
3,"21,66,9",0.585419
3,"36,42,44",0.679287
3,"36,42,72",0.660200
3,"36,42,68",0.505945
3,"36,42,74",0.577284
3,"36,42,7",0.786921
3,"36,42,64",0.747184
3,"36,42,56",0.776596
3,"36,42,wk_file_1",0.427096
3,"36,42,50",0.495932
3,"36,42,52",0.819775
3,"36,42,58",0.821339
3,"36,42,48",0.794431
3,"36,42,62",0.785357
3,"36,42,66",0.789737
3,"36,42,9",0.737797
3,"36,42,70",0.518461
3,"36,42,60",0.813517
3,"36,44,72",0.560701
3,"36,44,68",0.513141
3,"36,44,74",0.608886
3,"36,44,7",0.755006
3,"36,44,64",0.669900
3,"36,44,56",0.745932
3,"36,44,50",0.477472
3,"36,44,52",0.786608
3,"36,44,wk_file_2",0.464330
3,"36,44,58",0.789737
3,"36,44,48",0.755632
3,"36,44,62",0.761890
3,"36,44,66",0.740613
3,"36,44,9",0.709011
3,"36,44,70",0.495307
3,"36,44,60",0.775344
3,"36,72,74",0.460576
3,"36,72,9",0.623592
3,"36,68,74",0.478723
3,"36,68,7",0.576658
3,"36,68,9",0.540676
3,"36,38,74",0.509074
3,"36,38,7",0.636108
3,"36,38,64",0.569462
3,"36,38,56",0.628911
3,"36,38,50",0.432103
3,"36,38,52",0.656446
3,"36,38,58",0.658323
3,"36,38,40",0.658636
3,"36,38,48",0.626721
3,"36,38,62",0.644243
3,"36,38,66",0.619524
3,"36,38,9",0.602628
3,"36,38,70",0.535357
3,"36,38,60",0.647059
3,"36,74,9",0.656133
3,"36,7,wk_file_1",0.494368
3,"36,7,wk_file_2",0.437735
3,"36,7,9",0.831665
3,"36,7,70",0.594180
3,"36,64,wk_file_2",0.404255
3,"36,64,66",0.756258
3,"36,64,9",0.714956
3,"36,64,70",0.512516
3,"36,56,wk_file_1",0.491552
3,"36,56,wk_file_2",0.423342
3,"36,56,58",0.914581
3,"36,56,62",0.884230
3,"36,56,66",0.860138
3,"36,56,9",0.830726
3,"36,56,70",0.574468
3,"36,56,60",0.900188
3,"36,50,52",0.592616
3,"36,50,58",0.594180
3,"36,50,62",0.576971
3,"36,50,66",0.561640
3,"36,50,9",0.541302
3,"36,50,60",0.584481
3,"36,52,wk_file_2",0.461514
3,"36,52,58",0.965895
3,"36,52,62",0.923655
3,"36,52,66",0.911452
3,"36,52,9",0.866395
3,"36,52,70",0.597309
3,"36,52,60",0.951502
3,"36,58,62",0.927096
3,"36,58,66",0.914581
3,"36,58,9",0.868586
3,"36,58,70",0.598874
3,"36,58,60",0.954631
3,"36,40,48",0.926471
3,"36,40,62",0.922403
3,"36,40,66",0.907384
3,"36,40,9",0.862015
3,"36,40,70",0.599186
3,"36,40,60",0.947121
3,"36,48,62",0.892053
3,"36,48,66",0.890801
3,"36,48,9",0.833855
3,"36,48,70",0.567584
3,"36,48,60",0.926158
3,"36,62,66",0.874531
3,"36,62,9",0.830100
3,"36,62,70",0.584168
3,"36,66,9",0.819149
3,"36,66,70",0.558824
3,"42,44,72",0.553817
3,"42,44,68",0.454318
3,"42,44,74",0.520651
3,"42,44,7",0.671151
3,"42,44,64",0.643617
3,"42,44,56",0.667084
3,"42,44,50",0.423029
3,"42,44,52",0.702128
3,"42,44,wk_file_2",0.407071
3,"42,44,58",0.703692
3,"42,44,48",0.659887
3,"42,44,62",0.678974
3,"42,44,66",0.672716
3,"42,44,9",0.634543
3,"42,44,70",0.454318
3,"42,44,60",0.695870
3,"42,72,74",0.439299
3,"42,72,9",0.612328
3,"42,68,74",0.402691
3,"42,68,7",0.503442
3,"42,68,9",0.476846
3,"42,74,9",0.550063
3,"42,7,wk_file_1",0.432103
3,"42,7,9",0.730914
3,"42,7,70",0.540363
3,"42,64,66",0.744368
3,"42,64,9",0.693992
3,"42,64,70",0.505006
3,"42,56,wk_file_1",0.432103
3,"42,56,58",0.803817
3,"42,56,62",0.776909
3,"42,56,66",0.772215
3,"42,56,9",0.733730
3,"42,56,70",0.525344
3,"42,56,60",0.795995
3,"42,50,52",0.517522
3,"42,50,58",0.517835
3,"42,50,62",0.503442
3,"42,50,66",0.499687
3,"42,50,9",0.476533
3,"42,50,60",0.512829
3,"42,52,wk_file_2",0.405507
3,"42,52,58",0.846996
3,"42,52,62",0.811014
3,"42,52,66",0.815394
3,"42,52,9",0.763767
3,"42,52,70",0.544118
3,"42,52,60",0.839174
3,"42,58,62",0.812891
3,"42,58,66",0.816959
3,"42,58,9",0.765019
3,"42,58,70",0.544431
3,"42,58,60",0.840738
3,"42,48,62",0.765957
3,"42,48,66",0.776909
3,"42,48,9",0.718398
3,"42,48,70",0.499374
3,"42,48,60",0.797872
3,"42,62,66",0.782854
3,"42,62,9",0.731539
3,"42,62,70",0.531289
3,"42,66,9",0.734668
