Size,Items,Support
3,"pos34_100,pos42_124,pos43_127",0.881137
3,"pos34_100,pos42_124,pos6_16",0.847403
3,"pos34_100,pos42_124,pos9_25",0.520523
3,"pos34_100,pos42_124,pos7_19",0.873485
3,"pos34_100,pos42_124,pos4_10",0.707195
3,"pos34_100,pos42_124,pos5_13",0.794988
3,"pos34_100,pos37_109,pos3_7",0.558106
3,"pos34_100,pos37_109,pos39_115",0.621120
3,"pos34_100,pos37_109,pos43_127",0.892313
3,"pos34_100,pos37_109,pos41_121",0.845938
3,"pos34_100,pos37_109,pos6_16",0.859940
3,"pos34_100,pos37_109,pos9_25",0.530989
3,"pos34_100,pos37_109,pos7_19",0.886022
3,"pos34_100,pos37_109,pos4_10",0.719585
3,"pos34_100,pos37_109,pos5_13",0.807525
3,"pos34_100,pos37_109,pos40_118",0.768906
3,"pos34_100,pos3_7,pos43_127",0.556833
3,"pos34_100,pos3_7,pos41_121",0.518806
3,"pos34_100,pos3_7,pos6_16",0.558106
3,"pos34_100,pos3_7,pos7_19",0.558106
3,"pos34_100,pos3_7,pos4_10",0.558106
3,"pos34_100,pos3_7,pos5_13",0.558106
3,"pos34_100,pos3_7,pos40_118",0.462454
3,"pos34_100,pos39_115,pos43_127",0.621120
3,"pos34_100,pos39_115,pos41_121",0.621120
3,"pos34_100,pos39_115,pos6_16",0.589931
3,"pos34_100,pos39_115,pos7_19",0.613719
3,"pos34_100,pos39_115,pos4_10",0.478041
3,"pos34_100,pos39_115,pos5_13",0.546087
3,"pos34_100,pos39_115,pos40_118",0.621120
3,"pos34_100,pos43_127,pos6_16",0.858579
3,"pos34_100,pos43_127,pos9_25",0.529730
3,"pos34_100,pos43_127,pos7_19",0.884660
3,"pos34_100,pos43_127,pos4_10",0.718223
3,"pos34_100,pos43_127,pos5_13",0.806164
3,"pos34_100,pos41_121,pos6_16",0.812203
3,"pos34_100,pos41_121,pos9_25",0.494353
3,"pos34_100,pos41_121,pos7_19",0.838285
3,"pos34_100,pos41_121,pos4_10",0.673565
3,"pos34_100,pos41_121,pos5_13",0.760025
3,"pos34_100,pos6_16,pos9_25",0.500851
3,"pos34_100,pos6_16,pos7_19",0.859940
3,"pos34_100,pos35_103,pos7_19",0.886022
3,"pos34_100,pos35_103,pos36_106",0.893675
3,"pos34_100,pos35_103,pos4_10",0.719585
3,"pos34_100,pos35_103,pos5_13",0.807525
3,"pos34_100,pos35_103,pos40_118",0.768906
3,"pos34_100,pos36_106,pos4_10",0.719585
3,"pos34_100,pos36_106,pos5_13",0.807525
3,"pos34_100,pos36_106,pos40_118",0.768906
3,"pos34_100,pos4_10,pos5_13",0.719585
3,"pos42_124,pos43_127,pos6_16",0.953536
3,"pos42_124,pos43_127,pos9_25",0.599094
3,"pos42_124,pos43_127,pos7_19",0.979810
3,"pos42_124,pos43_127,pos4_10",0.806667
